,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
123,weinan,100,CN,1633610032,79,34.5036,109.5089,58.69,3.38
124,bambous virieux,40,MU,1633610033,65,-20.3428,57.7575,79.05,17.27
125,poya,0,NC,1633610034,69,-21.35,165.15,65.97,7.45
126,liberal,1,US,1633610034,76,37.0431,-100.921,57.47,10.36
127,proletarsk,24,RU,1633610035,35,46.7031,41.7192,55.24,19.04
128,okhotsk,13,RU,1633610036,74,59.3833,143.3,27.81,7.65
129,jiayuguan,100,CN,1633610037,41,39.8167,98.3,56.16,6.87
130,east london,0,ZA,1633610038,64,-33.0153,27.9116,76.14,19.57
131,muscat,0,OM,1633610038,49,23.6139,58.5922,89.62,5.32
132,shimoda,82,JP,1633610039,88,34.6667,138.95,75.31,4.54
133,yulara,0,AU,1633610040,33,-25.2406,130.9889,76.84,9.22
134,kahului,1,US,1633610040,69,20.8947,-156.47,77.85,8.05
135,tuatapere,100,NZ,1633610041,88,-46.1333,167.6833,49.82,3.02
136,tessalit,0,ML,1633610041,8,20.1986,1.0114,100.83,10.51
137,kodiak,12,US,1633610042,80,57.79,-152.4072,43.79,12.91
138,bani walid,0,LY,1633610042,32,31.7566,13.9942,85.17,7.07
139,opuwo,49,NA,1633610043,10,-18.0607,13.84,94.01,8.63
140,pisco,90,PE,1633610043,88,-13.7,-76.2167,62.65,4.61
141,sulangan,100,PH,1633610044,78,11.1373,123.7228,83.71,13.38
142,salalah,20,OM,1633610045,74,17.0151,54.0924,86.09,12.66
143,baherden,100,TM,1633610045,22,38.4362,57.4316,60.6,7.34
144,laguna,1,US,1633610043,74,38.421,-121.4238,61.02,1.01
145,buala,7,SB,1633610046,83,-8.145,159.5921,80.38,5.17
146,sur,0,OM,1633610047,50,22.5667,59.5289,85.28,4.61
147,faanui,19,PF,1633610048,75,-16.4833,-151.75,77.99,9.64
148,camacha,40,PT,1633610048,60,33.0833,-16.3333,78.53,8.05
149,phan thiet,100,VN,1633610050,91,10.9333,108.1,77.74,9.19
150,sao joao da barra,100,BR,1633609850,73,-21.6403,-41.0511,77.09,2.1
151,paamiut,3,GL,1633610050,52,61.994,-49.6678,36.25,5.84
152,batticaloa,97,LK,1633610051,73,7.7102,81.6924,85.28,2.98
153,ucluelet,5,CA,1633610052,82,48.9329,-125.5528,45.09,3.91
154,hare bay,29,CA,1633610053,63,48.8499,-54.0148,47.8,10.13
155,peniche,0,PT,1633610053,56,39.3558,-9.3811,87.62,11.14
156,san cristobal,96,VE,1633610054,54,7.7669,-72.225,71.78,5.32
157,ternate,41,ID,1633610054,79,0.8,127.4,81.93,8.55
158,loudi,97,CN,1633610055,72,27.7344,111.9944,65.1,6.29
159,wanning,100,CN,1633610055,89,18.8003,110.3967,79.52,20.29
160,koumac,59,NC,1633610056,67,-20.5667,164.2833,72.3,4.5
161,batemans bay,100,AU,1633609812,73,-35.7167,150.1833,58.1,3.6
162,bollnas,99,SE,1633610058,78,61.3482,16.3946,57.13,7.58
163,acarau,78,BR,1633610059,56,-2.8856,-40.12,88.12,13.6
164,khatanga,99,RU,1633610059,98,71.9667,102.5,9.84,3.8
165,bengkulu,93,ID,1633610060,87,-3.8004,102.2655,77.07,4.97
166,makakilo city,1,US,1633610061,62,21.3469,-158.0858,77.32,8.05
167,westerland,40,DE,1633610061,77,54.9079,8.3033,61.02,10.36
168,isla mujeres,100,MX,1633610062,79,21.2311,-86.731,75.25,5.5
169,engenheiro beltrao,100,BR,1633610062,87,-23.7972,-52.2692,70.9,1.36
170,chumikan,100,RU,1633610063,55,54.7183,135.315,37.98,10.63
171,baie-comeau,1,CA,1633609776,87,49.2168,-68.1489,55.4,6.91
172,minab,0,IR,1633610064,33,27.1467,57.0801,92.7,7.38
173,kopavogur,90,IS,1633610064,54,64.1123,-21.913,51.51,26.46
174,svetlogorsk,0,BY,1633610065,37,52.6333,29.7333,51.22,10.63
175,banyo,16,CM,1633610066,61,6.75,11.8167,78.93,5.95
176,sortavala,97,RU,1633610066,67,61.7053,30.6918,52.32,15.23
177,yagodnoye,96,RU,1633610067,91,62.55,149.6667,11.14,3.29
178,seminole,1,US,1633610068,94,28.7086,-81.2081,80.22,0.0
179,georgetown,20,MY,1633610069,81,5.4112,100.3354,84.15,1.01
180,guilin,4,CN,1633610070,71,25.2819,110.2864,73.51,12.39
181,mahebourg,40,MU,1633610070,65,-20.4081,57.7,79.25,17.27
182,paraiso,100,CR,1633610071,88,9.8383,-83.8656,67.87,2.57
183,alexandria,0,EG,1633610291,51,31.2156,29.9553,82.94,12.66
184,listvyagi,100,RU,1633610071,90,53.6772,86.951,35.46,11.48
185,buraydah,0,SA,1633610024,10,26.326,43.975,102.65,7.92
186,kumluca,0,TR,1633610072,45,36.3703,30.2869,75.99,8.52
187,geraldton,0,AU,1633609895,72,-28.7667,114.6,59.41,8.05
188,dunedin,100,NZ,1633609847,76,-45.8742,170.5036,53.76,4.52
189,ponta do sol,7,PT,1633610073,73,32.6667,-17.1,82.0,0.22
190,hasaki,89,JP,1633610073,79,35.7333,140.8333,70.29,17.18
191,bajah,70,YE,1633610074,51,13.8141,44.6301,83.73,8.39
192,vila velha,40,BR,1633610074,69,-20.3297,-40.2925,82.35,10.36
193,kruisfontein,100,ZA,1633610074,34,-34.0033,24.7314,80.89,17.87
194,vila franca do campo,100,PT,1633610075,86,37.7167,-25.4333,76.19,9.44
195,tuktoyaktuk,14,CA,1633610076,78,69.4541,-133.0374,29.82,13.11
196,troitsko-pechorsk,7,RU,1633610076,75,62.7084,56.1964,46.85,10.65
197,jinji,67,CN,1633610077,62,23.2281,110.8261,79.57,5.21
198,lavrentiya,100,RU,1633610077,95,65.5833,-171.0,35.71,2.59
199,springbok,0,ZA,1633610078,25,-29.6643,17.8865,70.48,20.54
200,monticello,90,US,1633610078,90,45.3055,-93.7941,63.36,4.61
201,briancon,1,FR,1633610079,38,44.9,6.65,59.31,5.82
202,vestmannaeyjar,90,IS,1633610080,76,63.4427,-20.2734,47.39,48.34
203,micheweni,0,TZ,1633610081,65,-4.9667,39.8333,82.94,12.84
204,kaeo,34,NZ,1633610081,96,-35.1,173.7833,55.33,7.0
205,carnarvon,0,AU,1633610082,73,-24.8667,113.6333,68.07,20.71
206,gizo,12,SB,1633610082,75,-8.103,156.8419,82.09,4.56
207,hokitika,100,NZ,1633610083,93,-42.7167,170.9667,54.05,5.86
208,dilla,100,ET,1633610084,85,6.41,38.31,68.38,4.03
209,bredasdorp,0,ZA,1633610084,53,-34.5322,20.0403,75.27,11.5
210,carnot,66,CF,1633610085,70,4.9409,15.8665,82.09,1.43
211,bawku,98,GH,1633610086,32,11.0616,-0.2417,97.29,6.38
212,taoudenni,0,ML,1633610086,5,22.6783,-3.9836,107.2,13.27
213,alice springs,0,AU,1633610087,50,-23.7,133.8833,74.75,10.36
214,arlit,0,NE,1633610087,7,18.7369,7.3853,97.88,7.72
215,bilibino,99,RU,1633610088,96,68.0546,166.4372,2.55,3.0
216,vozhega,5,RU,1633610088,62,60.4725,40.2213,49.57,9.91
217,saint-philippe,95,RE,1633610089,80,-21.3585,55.7679,78.35,12.1
218,hue,75,VN,1633609952,94,16.4667,107.6,78.91,12.66
219,puerto carreno,80,CO,1633610090,79,6.189,-67.4859,81.5,0.89
220,saint anthony,90,US,1633610090,85,45.0205,-93.218,63.25,1.01
221,las colinas,81,PA,1633610091,85,8.55,-80.0833,75.76,3.04
222,kousseri,0,CM,1633610091,16,12.0769,15.0306,98.56,8.05
